LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1032476.210507,1032476.210511,1760462406.023301,88330.000,11706,2,EL,1,100,-11674.799805
1032476.210507,1032476.210511,1760462406.023301,88330.000,11706,2,EL,1,100,-11690.400391
1032476.277508,1032476.277512,1760462406.090302,88397.000,11722,1,EL,1,100,-11703.000000
1032476.344009,1032476.344013,1760462406.156803,88463.500,11737,2,EL,1,100,-11745.599609
1032476.410510,1032476.410514,1760462406.223304,88530.000,11737,2,EL,1,100,-11769.599609
1032476.477511,1032476.477515,1760462406.290305,88597.000,11755,1,EL,1,100,-11705.000000
1032476.544012,1032476.544016,1760462406.356807,88663.500,11770,2,EL,1,100,-11691.000000
1032476.610513,1032476.610517,1760462406.423308,88730.000,11770,2,EL,1,100,-11687.000000
1032476.677514,1032476.677518,1760462406.490309,88797.000,11786,1,EL,1,100,-11719.799805
1032476.744015,1032476.744019,1760462406.556810,88863.500,11802,2,EL,1,100,-11720.799805
1032476.810516,1032476.810520,1760462406.623311,88930.000,11802,2,EL,1,100,-11712.599609
1032476.877517,1032476.877521,1760462406.690312,88997.000,11819,1,EL,1,100,-11714.200195
1032476.944018,1032476.944022,1760462406.756813,89063.500,11836,2,EL,1,100,-11711.000000
1032477.010519,1032477.010523,1760462406.823314,89130.000,11836,2,EL,1,100,-11685.200195
1032477.076520,1032477.076524,1760462406.889316,89196.000,11851,1,EL,1,100,-11677.400391
1032477.143521,1032477.143525,1760462406.956317,89263.000,11868,2,EL,1,100,-11619.000000
1032477.210522,1032477.210526,1760462407.023318,89330.000,11868,2,EL,1,100,-11574.200195
1032477.277023,1032477.277027,1760462407.089819,89396.500,11886,2,EL,1,100,-11618.599609
1032477.343523,1032477.343527,1760462407.156320,89463.000,11886,2,EL,1,100,-11653.200195
1032477.410524,1032477.410528,1760462407.223321,89530.000,11901,1,EL,1,100,-11663.000000
1032477.477025,1032477.477029,1760462407.289822,89596.500,11917,2,EL,1,100,-11678.799805
1032477.543526,1032477.543530,1760462407.356323,89663.000,11917,2,EL,1,100,-11692.599609
1032477.610527,1032477.610531,1760462407.423325,89730.000,11932,1,EL,1,100,-11722.400391
1032477.677028,1032477.677032,1760462407.489826,89796.500,11948,2,EL,1,100,-11729.599609
1032477.743529,1032477.743533,1760462407.556327,89863.000,11948,2,EL,1,100,-11736.400391
1032477.810530,1032477.810534,1760462407.623328,89930.000,11963,1,EL,1,100,-11757.200195
1032477.877031,1032477.877035,1760462407.689829,89996.500,11979,2,EL,1,100,-11784.000000
1032477.943532,1032477.943536,1760462407.756330,90063.000,11979,2,EL,1,100,-11800.200195
1032478.010533,1032478.010537,1760462407.823331,90130.000,11994,1,EL,1,100,-11802.000000
1032478.077034,1032478.077038,1760462407.889832,90196.500,12012,2,EL,1,100,-11801.400391
1032478.143535,1032478.143539,1760462407.956334,90263.000,12012,2,EL,1,100,-11700.599609
1032478.210536,1032478.210540,1760462408.023335,90330.000,12028,1,EL,1,100,-11602.400391
1032478.277037,1032478.277041,1760462408.089836,90396.500,12043,2,EL,1,100,-11587.200195
1032478.343538,1032478.343542,1760462408.156337,90463.000,12043,2,EL,1,100,-11542.200195
1032478.410539,1032478.410543,1760462408.223338,90530.000,12060,1,EL,1,100,-11552.599609
1032478.477040,1032478.477044,1760462408.289840,90596.500,12077,2,EL,1,100,-11580.799805
1032478.543541,1032478.543545,1760462408.356341,90663.000,12077,2,EL,1,100,-11597.200195
1032478.610542,1032478.610546,1760462408.423342,90730.000,12092,1,EL,1,100,-11630.000000
1032478.677043,1032478.677047,1760462408.489843,90796.500,12107,2,EL,1,100,-11698.799805
1032478.743544,1032478.743548,1760462408.556344,90863.000,12107,2,EL,1,100,-11754.400391
1032478.810545,1032478.810549,1760462408.623345,90930.000,12122,1,EL,1,100,-11793.599609
1032478.877046,1032478.877050,1760462408.689846,90996.500,12139,2,EL,1,100,-11827.599609
1032478.943547,1032478.943551,1760462408.756347,91063.000,12139,2,EL,1,100,-11854.799805
1032479.010548,1032479.010552,1760462408.823349,91130.000,12154,1,EL,1,100,-11866.200195
1032479.077049,1032479.077053,1760462408.889850,91196.500,12169,2,EL,1,100,-11871.599609
1032479.143550,1032479.143554,1760462408.956351,91263.000,12169,2,EL,1,100,-11884.400391
1032479.210551,1032479.210555,1760462409.023352,91330.000,12185,1,EL,1,100,-11897.400391
1032479.277052,1032479.277056,1760462409.089853,91396.500,12201,2,EL,1,100,-11910.000000
1032479.343553,1032479.343557,1760462409.156354,91463.000,12201,2,EL,1,100,-11920.599609
1032479.410554,1032479.410558,1760462409.223355,91530.000,12218,1,EL,1,100,-11925.000000
1032479.477055,1032479.477059,1760462409.289856,91596.500,12235,2,EL,1,100,-11928.400391
1032479.543556,1032479.543560,1760462409.356358,91663.000,12235,2,EL,1,100,-11941.400391
1032479.610557,1032479.610561,1760462409.423359,91730.000,12249,1,EL,1,100,-11955.200195
1032479.677058,1032479.677062,1760462409.489860,91796.500,12267,2,EL,1,100,-11965.599609
1032479.743559,1032479.743563,1760462409.556361,91863.000,12267,2,EL,1,100,-11973.200195
1032479.810060,1032479.810064,1760462409.622862,91929.500,12283,2,EL,1,100,-11981.799805
1032479.876561,1032479.876565,1760462409.689363,91996.000,12283,2,EL,1,100,-11988.599609
1032479.943562,1032479.943566,1760462409.756364,92063.000,12301,1,EL,1,100,-11995.200195
1032480.010063,1032480.010066,1760462409.822865,92129.500,12315,2,EL,1,100,-12001.599609
1032480.076564,1032480.076567,1760462409.889367,92196.000,12315,2,EL,1,100,-12005.799805
1032480.143565,1032480.143568,1760462409.956368,92263.000,12331,1,EL,1,100,-12008.000000
1032480.210066,1032480.210069,1760462410.022869,92329.500,12347,2,EL,1,100,-12010.200195
1032480.276567,1032480.276570,1760462410.089370,92396.000,12347,2,EL,1,100,-12010.000000
1032480.343568,1032480.343571,1760462410.156371,92463.000,12363,1,EL,1,100,-12012.799805
1032480.410069,1032480.410072,1760462410.222872,92529.500,12377,2,EL,1,100,-12016.599609
1032480.476570,1032480.476573,1760462410.289374,92596.000,12377,2,EL,1,100,-12037.400391
1032480.543571,1032480.543574,1760462410.356375,92663.000,12394,1,EL,1,100,-12066.799805
1032480.610071,1032480.610075,1760462410.422876,92729.500,12409,2,EL,1,100,-12082.599609
1032480.676572,1032480.676576,1760462410.489377,92796.000,12409,2,EL,1,100,-12091.200195
1032480.743573,1032480.743577,1760462410.556378,92863.000,12425,1,EL,1,100,-12094.799805
1032480.810074,1032480.810078,1760462410.622879,92929.500,12444,2,EL,1,100,-12096.799805
1032480.876575,1032480.876579,1760462410.689380,92996.000,12444,2,EL,1,100,-12097.599609
1032480.943576,1032480.943580,1760462410.756382,93063.000,12460,1,EL,1,100,-12100.200195
1032481.010077,1032481.010081,1760462410.822883,93129.500,12475,2,EL,1,100,-12103.799805
1032481.076578,1032481.076582,1760462410.889384,93196.000,12475,2,EL,1,100,-12108.799805
1032481.143579,1032481.143583,1760462410.956385,93263.000,12491,1,EL,1,100,-12116.799805
1032481.210080,1032481.210084,1760462411.022886,93329.500,12506,2,EL,1,100,-12128.799805
1032481.276581,1032481.276585,1760462411.089387,93396.000,12506,2,EL,1,100,-12147.000000
1032481.343582,1032481.343586,1760462411.156388,93463.000,12522,1,EL,1,100,-12158.599609
1032481.410083,1032481.410087,1760462411.222889,93529.500,12537,2,EL,1,100,-12165.200195
1032481.476584,1032481.476588,1760462411.289391,93596.000,12537,2,EL,1,100,-12173.200195
1032481.543585,1032481.543589,1760462411.356392,93663.000,12556,1,EL,1,100,-12179.799805
1032481.610086,1032481.610090,1760462411.422893,93729.500,12572,2,EL,1,100,-12185.799805
1032481.676587,1032481.676591,1760462411.489394,93796.000,12572,2,EL,1,100,-12191.000000
1032481.743588,1032481.743592,1760462411.556395,93863.000,12588,1,EL,1,100,-12185.200195
1032481.810089,1032481.810093,1760462411.622896,93929.500,12604,2,EL,1,100,-12130.799805
1032481.876590,1032481.876594,1760462411.689398,93996.000,12604,2,EL,1,100,-12134.200195
1032481.943591,1032481.943595,1760462411.756399,94063.000,12620,1,EL,1,100,-12141.599609
1032482.010092,1032482.010096,1760462411.822900,94129.500,12635,2,EL,1,100,-12142.200195
1032482.076593,1032482.076597,1760462411.889401,94196.000,12635,2,EL,1,100,-12141.200195
1032482.143094,1032482.143098,1760462411.955902,94262.500,12651,2,EL,1,100,-12143.599609
1032482.209595,1032482.209599,1760462412.022403,94329.000,12651,2,EL,1,100,-12146.400391
1032482.276596,1032482.276600,1760462412.089404,94396.000,12666,1,EL,1,100,-12149.799805
1032482.343097,1032482.343101,1760462412.155905,94462.500,12682,2,EL,1,100,-12154.599609
1032482.409598,1032482.409602,1760462412.222407,94529.000,12682,2,EL,1,100,-12157.200195
1032482.476599,1032482.476603,1760462412.289408,94596.000,12699,1,EL,1,100,-12158.400391
1032482.543100,1032482.543104,1760462412.355909,94662.500,12715,2,EL,1,100,-12163.799805
1032482.609601,1032482.609605,1760462412.422410,94729.000,12715,2,EL,1,100,-12167.000000
1032482.676602,1032482.676606,1760462412.489411,94796.000,12730,1,EL,1,100,-12173.000000
1032482.743103,1032482.743106,1760462412.555912,94862.500,12746,2,EL,1,100,-12184.599609
1032482.809604,1032482.809607,1760462412.622413,94929.000,12746,2,EL,1,100,-12202.799805
1032482.876605,1032482.876608,1760462412.689415,94996.000,12762,1,EL,1,100,-12220.400391
1032482.943106,1032482.943109,1760462412.755916,95062.500,12777,2,EL,1,100,-12231.599609
1032483.009607,1032483.009610,1760462412.822417,95129.000,12777,2,EL,1,100,-12237.000000
1032483.076608,1032483.076611,1760462412.889418,95196.000,12792,1,EL,1,100,-12242.400391
1032483.143109,1032483.143112,1760462412.955919,95262.500,12811,2,EL,1,100,-12247.000000
1032483.209610,1032483.209613,1760462413.022420,95329.000,12811,2,EL,1,100,-12254.000000
1032483.276611,1032483.276614,1760462413.089421,95396.000,12828,1,EL,1,100,-12250.400391
1032483.343112,1032483.343115,1760462413.155922,95462.500,12843,2,EL,1,100,-12231.000000
1032483.409613,1032483.409616,1760462413.222424,95529.000,12843,2,EL,1,100,-12228.799805
1032483.476614,1032483.476617,1760462413.289425,95596.000,12858,1,EL,1,100,-12230.000000
1032483.543115,1032483.543118,1760462413.355926,95662.500,12875,2,EL,1,100,-12233.200195
1032483.609616,1032483.609619,1760462413.422427,95729.000,12875,2,EL,1,100,-12232.599609
1032483.676617,1032483.676620,1760462413.489428,95796.000,12890,1,EL,1,100,-12234.400391
1032483.743118,1032483.743121,1760462413.555929,95862.500,12905,2,EL,1,100,-12236.400391
1032483.809619,1032483.809622,1760462413.622431,95929.000,12905,2,EL,1,100,-12237.400391
1032483.876619,1032483.876623,1760462413.689432,95996.000,12921,1,EL,1,100,-12235.200195
1032483.943120,1032483.943124,1760462413.755933,96062.500,12937,2,EL,1,100,-12248.200195
1032484.009621,1032484.009625,1760462413.822434,96129.000,12937,2,EL,1,100,-12267.000000
1032484.076622,1032484.076626,1760462413.889435,96196.000,12952,1,EL,1,100,-12275.799805
1032484.143123,1032484.143127,1760462413.955936,96262.500,12969,2,EL,1,100,-12280.400391
1032484.209624,1032484.209628,1760462414.022437,96329.000,12969,2,EL,1,100,-12280.799805
1032484.276625,1032484.276629,1760462414.089438,96396.000,12985,1,EL,1,100,-12277.400391
1032484.343126,1032484.343130,1760462414.155940,96462.500,13001,2,EL,1,100,-12270.799805
1032484.409627,1032484.409631,1760462414.222441,96529.000,13001,2,EL,1,100,-12269.599609
1032484.476128,1032484.476132,1760462414.288942,96595.500,13017,2,EL,1,100,-12266.000000
1032484.542629,1032484.542633,1760462414.355443,96662.000,13017,2,EL,1,100,-12264.000000
1032484.609630,1032484.609634,1760462414.422444,96729.000,13033,1,EL,1,100,-12272.799805
1032484.676131,1032484.676135,1760462414.488945,96795.500,13047,2,EL,1,100,-12280.000000
1032484.742632,1032484.742636,1760462414.555446,96862.000,13047,2,EL,1,100,-12280.799805
1032484.809633,1032484.809637,1760462414.622447,96929.000,13063,1,EL,1,100,-12283.599609
1032484.876134,1032484.876138,1760462414.688949,96995.500,13081,2,EL,1,100,-12289.599609
1032484.942635,1032484.942639,1760462414.755450,97062.000,13081,2,EL,1,100,-12294.799805
1032485.009636,1032485.009640,1760462414.822451,97129.000,13097,1,EL,1,100,-12298.200195
1032485.076137,1032485.076141,1760462414.888952,97195.500,13113,2,EL,1,100,-12298.000000
1032485.142638,1032485.142642,1760462414.955453,97262.000,13113,2,EL,1,100,-12296.400391
1032485.209639,1032485.209643,1760462415.022454,97329.000,13130,1,EL,1,100,-12297.200195
1032485.276140,1032485.276144,1760462415.088955,97395.500,13145,2,EL,1,100,-12300.200195
1032485.342641,1032485.342645,1760462415.155457,97462.000,13145,2,EL,1,100,-12296.400391
1032485.409642,1032485.409645,1760462415.222458,97529.000,13161,1,EL,1,100,-12294.000000
1032485.476310,1032485.476313,1760462415.289126,97595.667,13180,3,EL,1,100,-12290.200195
1032485.542977,1032485.542981,1760462415.355793,97662.333,13180,3,EL,1,100,-12286.599609
1032485.609645,1032485.609648,1760462415.422461,97729.000,13180,3,EL,1,100,-12288.400391
1032485.676146,1032485.676149,1760462415.488962,97795.500,13195,2,EL,1,100,-12287.000000
1032485.742647,1032485.742650,1760462415.555464,97862.000,13195,2,EL,1,100,-12288.200195
1032485.809648,1032485.809651,1760462415.622465,97929.000,13212,1,EL,1,100,-12292.000000
1032485.876149,1032485.876152,1760462415.688966,97995.500,13229,2,EL,1,100,-12297.400391
1032485.942650,1032485.942653,1760462415.755467,98062.000,13229,2,EL,1,100,-12299.400391
1032486.009651,1032486.009654,1760462415.822468,98129.000,13247,1,EL,1,100,-12301.000000
1032486.076152,1032486.076155,1760462415.888969,98195.500,13262,2,EL,1,100,-12303.200195
1032486.142653,1032486.142656,1760462415.955470,98262.000,13262,2,EL,1,100,-12307.200195
1032486.209654,1032486.209657,1760462416.022471,98329.000,13279,1,EL,1,100,-12311.400391
1032486.276155,1032486.276158,1760462416.088973,98395.500,13293,2,EL,1,100,-12314.200195
1032486.342656,1032486.342659,1760462416.155474,98462.000,13293,2,EL,1,100,-12318.400391
1032486.409657,1032486.409660,1760462416.222475,98529.000,13309,1,EL,1,100,-12323.799805
1032486.476158,1032486.476161,1760462416.288976,98595.500,13327,2,EL,1,100,-12321.400391
1032486.542659,1032486.542662,1760462416.355477,98662.000,13327,2,EL,1,100,-12312.599609
1032486.609660,1032486.609663,1760462416.422478,98729.000,13343,1,EL,1,100,-12309.200195
1032486.676161,1032486.676164,1760462416.488979,98795.500,13358,2,EL,1,100,-12309.000000
1032486.742662,1032486.742665,1760462416.555480,98862.000,13358,2,EL,1,100,-12313.000000
1032486.809163,1032486.809166,1760462416.621982,98928.500,13375,2,EL,1,100,-12319.200195
1032486.875664,1032486.875667,1760462416.688483,98995.000,13375,2,EL,1,100,-12331.799805
1032486.942665,1032486.942668,1760462416.755484,99062.000,13392,1,EL,1,100,-12344.799805
1032487.009166,1032487.009169,1760462416.821985,99128.500,13408,2,EL,1,100,-12356.799805
1032487.075667,1032487.075670,1760462416.888486,99195.000,13408,2,EL,1,100,-12371.599609
1032487.142667,1032487.142671,1760462416.955487,99262.000,13425,1,EL,1,100,-12389.400391
1032487.209168,1032487.209172,1760462417.021989,99328.500,13441,2,EL,1,100,-12403.799805
