LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SR
1032476.210507,1032476.210511,1760462406.023301,88330.000,11750,1,SR,1,100,0.200000
1032477.543526,1032477.543530,1760462407.356323,89663.000,12007,1,SR,1,100,0.533333
1032478.743544,1032478.743548,1760462408.556344,90863.000,12213,1,SR,1,100,0.600000
1032480.410569,1032480.410572,1760462410.223372,92530.000,12438,1,SR,1,100,0.333333
1032481.143579,1032481.143583,1760462410.956385,93263.000,12567,1,SR,1,100,0.400000
1032482.343597,1032482.343601,1760462412.156405,94463.000,12694,1,SR,1,100,0.066667
1032482.543600,1032482.543604,1760462412.356409,94663.000,12823,1,SR,1,100,0.666667
1032483.876619,1032483.876623,1760462413.689432,95996.000,12980,1,SR,1,100,0.333333
1032484.609630,1032484.609634,1760462414.422444,96729.000,13108,1,SR,1,100,0.400000
1032485.809648,1032485.809651,1760462415.622465,97929.000,13321,1,SR,1,100,0.600000
1032486.809663,1032486.809666,1760462416.622482,98929.000,13469,1,SR,1,100,0.533333
1032488.275684,1032488.275687,1760462418.088507,100395.000,13648,1,SR,1,100,0.200000
1032489.409701,1032489.409704,1760462419.222526,101529.000,13959,1,SR,1,100,1.000000
1032500.207859,1032500.207862,1760462430.020710,112327.000,15567,1,SR,1,100,0.266667
1032504.141917,1032504.141920,1760462433.954778,116261.000,16221,1,SR,1,100,0.400000
1032505.341935,1032505.341937,1760462435.154798,117461.000,16460,1,SR,1,100,0.600000
1032511.674028,1032511.674030,1760462441.486906,123793.000,17372,1,SR,1,100,0.066667
1032513.407053,1032513.407055,1760462443.219936,125526.000,17709,1,SR,1,100,0.400000
1032513.940061,1032513.940063,1760462443.752945,126059.000,17776,1,SR,1,100,0.266667
1032524.007209,1032524.007210,1760462453.820117,136126.000,19353,1,SR,1,100,0.266667
1032527.473260,1032527.473261,1760462457.286176,139592.000,19876,1,SR,1,100,0.133333
1032531.405318,1032531.405318,1760462461.218243,143524.000,20616,1,SR,1,100,0.733333
1032535.805383,1032535.805383,1760462465.618318,147924.000,21307,1,SR,1,100,0.600000
1032536.538393,1032536.538394,1760462466.351331,148657.000,21340,1,SR,1,100,0.066667
1032549.737587,1032549.737587,1760462479.550556,161856.000,23638,1,SR,1,100,1.466667
1032558.736720,1032558.736718,1760462488.549710,170855.000,24832,1,SR,1,100,0.133333
1032565.269816,1032565.269814,1760462495.082821,177388.000,26015,1,SR,1,100,1.133333
1032569.668880,1032569.668878,1760462499.481896,181787.000,26736,1,SR,1,100,1.200000
1032576.601982,1032576.601980,1760462506.415015,188720.000,27840,1,SR,1,100,1.333333
