LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1032476.136506,1032476.136510,1760462405.949300,88256.000,11707,1,T1,1,100,30.075
1032476.270508,1032476.270512,1760462406.083302,88390.000,11723,1,T1,1,100,30.174
1032476.403510,1032476.403514,1760462406.216304,88523.000,11738,1,T1,1,100,30.040
1032476.536512,1032476.536516,1760462406.349306,88656.000,11771,1,T1,1,100,30.053
1032476.670514,1032476.670518,1760462406.483309,88790.000,11787,1,T1,1,100,30.094
1032476.803516,1032476.803520,1760462406.616311,88923.000,11803,1,T1,1,100,30.111
1032476.936517,1032476.936522,1760462406.749313,89056.000,11820,1,T1,1,100,30.155
1032477.070519,1032477.070523,1760462406.883315,89190.000,11852,1,T1,1,100,30.031
1032477.203521,1032477.203525,1760462407.016318,89323.000,11869,1,T1,1,100,30.085
1032477.336523,1032477.336527,1760462407.149320,89456.000,11887,1,T1,1,100,30.143
1032477.470525,1032477.470529,1760462407.283322,89590.000,11918,1,T1,1,100,30.204
1032477.603527,1032477.603531,1760462407.416325,89723.000,11933,1,T1,1,100,30.194
1032477.736529,1032477.736533,1760462407.549327,89856.000,11949,1,T1,1,100,30.297
1032477.869531,1032477.869535,1760462407.682329,89989.000,11980,1,T1,1,100,30.306
1032478.003533,1032478.003537,1760462407.816331,90123.000,11995,1,T1,1,100,30.203
1032478.136535,1032478.136539,1760462407.949334,90256.000,12013,1,T1,1,100,30.194
1032478.269537,1032478.269541,1760462408.082336,90389.000,12044,1,T1,1,100,30.226
1032478.403539,1032478.403543,1760462408.216338,90523.000,12061,1,T1,1,100,30.275
1032478.536541,1032478.536545,1760462408.349340,90656.000,12078,1,T1,1,100,30.296
1032478.669543,1032478.669547,1760462408.482343,90789.000,12108,1,T1,1,100,30.199
1032478.803545,1032478.803549,1760462408.616345,90923.000,12123,1,T1,1,100,30.157
1032478.936547,1032478.936551,1760462408.749347,91056.000,12140,1,T1,1,100,30.281
1032479.070549,1032479.070553,1760462408.883350,91190.000,12170,1,T1,1,100,30.334
1032479.203551,1032479.203555,1760462409.016352,91323.000,12186,1,T1,1,100,30.357
1032479.336553,1032479.336557,1760462409.149354,91456.000,12202,1,T1,1,100,30.332
1032479.469555,1032479.469559,1760462409.282356,91589.000,12219,1,T1,1,100,30.321
