LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1032483.150738,1032483.150737,1760462412.963543,93957.000,12432,1,B%,1,100,27
1032488.150112,1032488.150111,1760462417.962929,98956.000,13232,1,B%,1,100,29
1032493.150486,1032493.150485,1760462422.963315,103956.000,14022,1,B%,1,100,32
1032498.149860,1032498.149858,1760462427.962702,108955.000,14811,1,B%,1,100,31
1032503.150234,1032503.150232,1760462432.963088,113955.000,15614,1,B%,1,100,30
1032508.149608,1032508.149606,1760462437.962474,118954.000,16383,1,B%,1,100,31
1032513.149982,1032513.149980,1760462442.962860,123954.000,17183,1,B%,1,100,29
1032518.149356,1032518.149354,1760462447.962246,128953.000,17982,1,B%,1,100,29
1032523.149730,1032523.149728,1760462452.962632,133953.000,18781,1,B%,1,100,31
1032528.149104,1032528.149101,1760462457.962018,138952.000,19563,1,B%,1,100,30
1032533.149477,1032533.149475,1760462462.962404,143952.000,20346,1,B%,1,100,33
1032538.148851,1032538.148849,1760462467.961790,148951.000,21137,1,B%,1,100,32
1032543.149225,1032543.149223,1760462472.962176,153951.000,21918,1,B%,1,100,28
1032548.148599,1032548.148597,1760462477.961562,158950.000,22739,1,B%,1,100,28
1032553.148973,1032553.148971,1760462482.961948,163950.000,23538,1,B%,1,100,28
1032558.148347,1032558.148345,1760462487.961334,168949.000,24343,1,B%,1,100,29
1032563.148721,1032563.148718,1760462492.961720,173949.000,25154,1,B%,1,100,28
1032568.148095,1032568.148092,1760462497.961107,178948.000,25949,1,B%,1,100,28
1032573.148469,1032573.148466,1760462502.961493,183948.000,26790,1,B%,1,100,27
1032578.147843,1032578.147840,1760462507.960879,188947.000,27598,1,B%,1,100,27
1032583.148216,1032583.148214,1760462512.961265,193947.000,28412,1,B%,1,100,29
1032588.147590,1032588.147588,1760462517.960651,198946.000,29207,1,B%,1,100,32
1032593.147964,1032593.147961,1760462522.961037,203946.000,29986,1,B%,1,100,31
