LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1032478.851417,1032478.851415,1760462408.664211,89658.000,11736,2,EA,1,100,0.127517
1032478.851417,1032478.851415,1760462408.664211,89658.000,11736,2,EA,1,100,0.127587
1032478.917422,1032478.917420,1760462408.730217,89724.000,11753,1,EA,1,100,0.127656
1032478.984427,1032478.984425,1760462408.797222,89791.000,11768,2,EA,1,100,0.127731
1032479.051432,1032479.051430,1760462408.864227,89858.000,11768,2,EA,1,100,0.127806
1032479.117437,1032479.117435,1760462408.930232,89924.000,11784,1,EA,1,100,0.127893
1032479.184442,1032479.184440,1760462408.997237,89991.000,11802,2,EA,1,100,0.128011
1032479.251447,1032479.251445,1760462409.064242,90058.000,11802,2,EA,1,100,0.128160
1032479.317952,1032479.317950,1760462409.130747,90124.500,11819,2,EA,1,100,0.128264
1032479.384457,1032479.384455,1760462409.197253,90191.000,11819,2,EA,1,100,0.127940
1032479.451462,1032479.451460,1760462409.264258,90258.000,11834,1,EA,1,100,0.124642
1032479.517967,1032479.517965,1760462409.330763,90324.500,11851,2,EA,1,100,0.111167
1032479.584472,1032479.584470,1760462409.397268,90391.000,11851,2,EA,1,100,0.097361
1032479.651477,1032479.651475,1760462409.464273,90458.000,11866,1,EA,1,100,0.092339
1032479.717982,1032479.717980,1760462409.530778,90524.500,11882,2,EA,1,100,0.092821
1032479.784487,1032479.784485,1760462409.597283,90591.000,11882,2,EA,1,100,0.092873
1032479.851492,1032479.851490,1760462409.664289,90658.000,11900,1,EA,1,100,0.090955
1032479.917997,1032479.917995,1760462409.730794,90724.500,11916,2,EA,1,100,0.089893
1032479.984502,1032479.984500,1760462409.797299,90791.000,11916,2,EA,1,100,0.085599
1032480.051507,1032480.051505,1760462409.864304,90858.000,11931,1,EA,1,100,0.082647
1032480.118012,1032480.118010,1760462409.930809,90924.500,11948,2,EA,1,100,0.082721
1032480.184517,1032480.184515,1760462409.997314,90991.000,11948,2,EA,1,100,0.084596
1032480.251022,1032480.251020,1760462410.063819,91057.500,11962,2,EA,1,100,0.087661
1032480.317527,1032480.317525,1760462410.130325,91124.000,11962,2,EA,1,100,0.094732
1032480.384532,1032480.384530,1760462410.197330,91191.000,11978,1,EA,1,100,0.098536
1032480.451037,1032480.451035,1760462410.263835,91257.500,11994,2,EA,1,100,0.100646
1032480.517542,1032480.517540,1760462410.330340,91324.000,11994,2,EA,1,100,0.103311
1032480.584547,1032480.584545,1760462410.397345,91391.000,12010,1,EA,1,100,0.104838
1032480.651052,1032480.651050,1760462410.463850,91457.500,12024,2,EA,1,100,0.105780
1032480.717557,1032480.717555,1760462410.530355,91524.000,12024,2,EA,1,100,0.107147
1032480.784562,1032480.784560,1760462410.597361,91591.000,12041,1,EA,1,100,0.108045
1032480.851067,1032480.851065,1760462410.663866,91657.500,12063,2,EA,1,100,0.102185
1032480.917571,1032480.917570,1760462410.730371,91724.000,12063,2,EA,1,100,0.096341
1032480.984577,1032480.984575,1760462410.797376,91791.000,12079,1,EA,1,100,0.094094
1032481.051081,1032481.051080,1760462410.863881,91857.500,12093,2,EA,1,100,0.093425
1032481.117586,1032481.117585,1760462410.930386,91924.000,12093,2,EA,1,100,0.094899
1032481.184591,1032481.184590,1760462410.997391,91991.000,12110,1,EA,1,100,0.102733
1032481.251096,1032481.251095,1760462411.063897,92057.500,12125,2,EA,1,100,0.104424
1032481.317601,1032481.317600,1760462411.130402,92124.000,12125,2,EA,1,100,0.103351
1032481.384606,1032481.384605,1760462411.197407,92191.000,12141,1,EA,1,100,0.103190
1032481.451111,1032481.451110,1760462411.263912,92257.500,12156,2,EA,1,100,0.101724
1032481.517616,1032481.517615,1760462411.330417,92324.000,12156,2,EA,1,100,0.101874
1032481.584621,1032481.584620,1760462411.397422,92391.000,12172,1,EA,1,100,0.103035
1032481.651126,1032481.651125,1760462411.463928,92457.500,12187,2,EA,1,100,0.104096
1032481.717631,1032481.717630,1760462411.530433,92524.000,12187,2,EA,1,100,0.104916
1032481.784636,1032481.784635,1760462411.597438,92591.000,12204,1,EA,1,100,0.105344
1032481.851141,1032481.851140,1760462411.663943,92657.500,12221,2,EA,1,100,0.105866
1032481.917646,1032481.917645,1760462411.730448,92724.000,12221,2,EA,1,100,0.106489
1032481.984651,1032481.984650,1760462411.797453,92791.000,12237,1,EA,1,100,0.107277
