LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1032478.851417,1032478.851415,1760462408.664211,89658.000,11737,2,EL,1,100,-8686.599609
1032478.851417,1032478.851415,1760462408.664211,89658.000,11737,2,EL,1,100,-8692.599609
1032478.917422,1032478.917420,1760462408.730217,89724.000,11754,1,EL,1,100,-8698.400391
1032478.984427,1032478.984425,1760462408.797222,89791.000,11769,2,EL,1,100,-8704.799805
1032479.051432,1032479.051430,1760462408.864227,89858.000,11769,2,EL,1,100,-8711.200195
1032479.117437,1032479.117435,1760462408.930232,89924.000,11785,1,EL,1,100,-8718.599609
1032479.184442,1032479.184440,1760462408.997237,89991.000,11803,2,EL,1,100,-8728.599609
1032479.251447,1032479.251445,1760462409.064242,90058.000,11803,2,EL,1,100,-8741.200195
1032479.317952,1032479.317950,1760462409.130747,90124.500,11820,2,EL,1,100,-8750.000000
1032479.384457,1032479.384455,1760462409.197253,90191.000,11820,2,EL,1,100,-8722.599609
1032479.451462,1032479.451460,1760462409.264258,90258.000,11835,1,EL,1,100,-8435.400391
1032479.517967,1032479.517965,1760462409.330763,90324.500,11852,2,EL,1,100,-7084.799805
1032479.584472,1032479.584470,1760462409.397268,90391.000,11852,2,EL,1,100,-5313.200195
1032479.651477,1032479.651475,1760462409.464273,90458.000,11867,1,EL,1,100,-4537.399902
1032479.717982,1032479.717980,1760462409.530778,90524.500,11883,2,EL,1,100,-4615.600098
1032479.784487,1032479.784485,1760462409.597283,90591.000,11883,2,EL,1,100,-4624.000000
1032479.851492,1032479.851490,1760462409.664289,90658.000,11901,1,EL,1,100,-4308.600098
1032479.917997,1032479.917995,1760462409.730794,90724.500,11917,2,EL,1,100,-4128.200195
1032479.984502,1032479.984500,1760462409.797299,90791.000,11917,2,EL,1,100,-3353.199951
1032480.051507,1032480.051505,1760462409.864304,90858.000,11932,1,EL,1,100,-2773.600098
1032480.118012,1032480.118010,1760462409.930809,90924.500,11949,2,EL,1,100,-2788.800049
1032480.184517,1032480.184515,1760462409.997314,90991.000,11949,2,EL,1,100,-3160.800049
1032480.251022,1032480.251020,1760462410.063819,91057.500,11963,2,EL,1,100,-3734.800049
1032480.317527,1032480.317525,1760462410.130325,91124.000,11963,2,EL,1,100,-4917.399902
1032480.384532,1032480.384530,1760462410.197330,91191.000,11979,1,EL,1,100,-5483.399902
1032480.451037,1032480.451035,1760462410.263835,91257.500,11995,2,EL,1,100,-5778.799805
1032480.517542,1032480.517540,1760462410.330340,91324.000,11995,2,EL,1,100,-6134.799805
1032480.584547,1032480.584545,1760462410.397345,91391.000,12011,1,EL,1,100,-6330.600098
1032480.651052,1032480.651050,1760462410.463850,91457.500,12025,2,EL,1,100,-6448.600098
1032480.717557,1032480.717555,1760462410.530355,91524.000,12025,2,EL,1,100,-6616.000000
1032480.784562,1032480.784560,1760462410.597361,91591.000,12042,1,EL,1,100,-6723.799805
1032480.851067,1032480.851065,1760462410.663866,91657.500,12064,2,EL,1,100,-5986.600098
1032480.917571,1032480.917570,1760462410.730371,91724.000,12064,2,EL,1,100,-5162.200195
1032480.984577,1032480.984575,1760462410.797376,91791.000,12080,1,EL,1,100,-4818.000000
1032481.051081,1032481.051080,1760462410.863881,91857.500,12094,2,EL,1,100,-4712.200195
1032481.117586,1032481.117585,1760462410.930386,91924.000,12094,2,EL,1,100,-4943.200195
1032481.184591,1032481.184590,1760462410.997391,91991.000,12111,1,EL,1,100,-6059.200195
1032481.251096,1032481.251095,1760462411.063897,92057.500,12126,2,EL,1,100,-6278.000000
1032481.317601,1032481.317600,1760462411.130402,92124.000,12126,2,EL,1,100,-6140.000000
1032481.384606,1032481.384605,1760462411.197407,92191.000,12142,1,EL,1,100,-6119.000000
1032481.451111,1032481.451110,1760462411.263912,92257.500,12157,2,EL,1,100,-5925.000000
1032481.517616,1032481.517615,1760462411.330417,92324.000,12157,2,EL,1,100,-5945.200195
1032481.584621,1032481.584620,1760462411.397422,92391.000,12173,1,EL,1,100,-6098.799805
1032481.651126,1032481.651125,1760462411.463928,92457.500,12188,2,EL,1,100,-6236.200195
1032481.717631,1032481.717630,1760462411.530433,92524.000,12188,2,EL,1,100,-6340.399902
1032481.784636,1032481.784635,1760462411.597438,92591.000,12205,1,EL,1,100,-6394.200195
1032481.851141,1032481.851140,1760462411.663943,92657.500,12222,2,EL,1,100,-6459.200195
1032481.917646,1032481.917645,1760462411.730448,92724.000,12222,2,EL,1,100,-6536.000000
1032481.984651,1032481.984650,1760462411.797453,92791.000,12238,1,EL,1,100,-6631.799805
1032482.051156,1032482.051155,1760462411.863958,92857.500,12253,2,EL,1,100,-6715.799805
1032482.117661,1032482.117660,1760462411.930464,92924.000,12253,2,EL,1,100,-6785.600098
1032482.184666,1032482.184665,1760462411.997469,92991.000,12270,1,EL,1,100,-6853.799805
1032482.251171,1032482.251170,1760462412.063974,93057.500,12290,2,EL,1,100,-6934.200195
1032482.317676,1032482.317675,1760462412.130479,93124.000,12290,2,EL,1,100,-7003.600098
1032482.384681,1032482.384680,1760462412.197484,93191.000,12305,1,EL,1,100,-7063.399902
1032482.451186,1032482.451185,1760462412.263989,93257.500,12321,2,EL,1,100,-7121.799805
1032482.517691,1032482.517690,1760462412.330494,93324.000,12321,2,EL,1,100,-7175.200195
1032482.584696,1032482.584695,1760462412.397500,93391.000,12337,1,EL,1,100,-7218.399902
1032482.651201,1032482.651199,1760462412.464005,93457.500,12355,2,EL,1,100,-7260.799805
1032482.717706,1032482.717704,1760462412.530510,93524.000,12355,2,EL,1,100,-7302.799805
1032482.784211,1032482.784209,1760462412.597015,93590.500,12371,2,EL,1,100,-7344.799805
1032482.850716,1032482.850714,1760462412.663520,93657.000,12371,2,EL,1,100,-7384.200195
1032482.917721,1032482.917719,1760462412.730525,93724.000,12390,1,EL,1,100,-7422.600098
