LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GY
1032478.759410,1032478.759409,1760462408.572204,89566.000,11727,1,GY,1,100,2.808
1032478.799413,1032478.799411,1760462408.612207,89606.000,11742,2,GY,1,100,1.862
1032478.839416,1032478.839414,1760462408.652210,89646.000,11742,2,GY,1,100,0.763
1032478.879419,1032478.879417,1760462408.692214,89686.000,11760,3,GY,1,100,2.472
1032478.919422,1032478.919420,1760462408.732217,89726.000,11760,3,GY,1,100,1.801
1032478.959425,1032478.959423,1760462408.772220,89766.000,11760,3,GY,1,100,-0.824
1032478.999428,1032478.999426,1760462408.812223,89806.000,11775,3,GY,1,100,1.678
1032479.039431,1032479.039429,1760462408.852226,89846.000,11775,3,GY,1,100,1.953
1032479.079434,1032479.079432,1760462408.892229,89886.000,11775,3,GY,1,100,-1.343
1032479.119437,1032479.119435,1760462408.932232,89926.000,11791,2,GY,1,100,4.181
1032479.159440,1032479.159438,1760462408.972235,89966.000,11791,2,GY,1,100,2.411
1032479.199443,1032479.199441,1760462409.012238,90006.000,11808,3,GY,1,100,9.003
1032479.239446,1032479.239444,1760462409.052241,90046.000,11808,3,GY,1,100,7.568
1032479.279449,1032479.279447,1760462409.092244,90086.000,11808,3,GY,1,100,8.698
1032479.319452,1032479.319450,1760462409.132247,90126.000,11826,2,GY,1,100,8.728
1032479.359455,1032479.359453,1760462409.172251,90166.000,11826,2,GY,1,100,18.555
1032479.399458,1032479.399456,1760462409.212254,90206.000,11841,3,GY,1,100,22.858
1032479.439461,1032479.439459,1760462409.252257,90246.000,11841,3,GY,1,100,8.423
1032479.479464,1032479.479462,1760462409.292260,90286.000,11841,3,GY,1,100,-9.674
1032479.519467,1032479.519465,1760462409.332263,90326.000,11858,2,GY,1,100,-18.738
1032479.559470,1032479.559468,1760462409.372266,90366.000,11858,2,GY,1,100,-33.081
