LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1032478.772411,1032478.772409,1760462408.585205,89579.000,11721,4,PG,1,100,6753
1032478.772411,1032478.772409,1760462408.585205,89579.000,11721,4,PG,1,100,6733
1032478.772411,1032478.772409,1760462408.585205,89579.000,11721,4,PG,1,100,6731
1032478.772411,1032478.772409,1760462408.585205,89579.000,11721,4,PG,1,100,6752
1032478.782745,1032478.782744,1760462408.595539,89589.333,11735,9,PG,1,100,6723
1032478.793079,1032478.793078,1760462408.605874,89599.667,11735,9,PG,1,100,6752
1032478.803413,1032478.803412,1760462408.616208,89610.000,11735,9,PG,1,100,6736
1032478.813748,1032478.813746,1760462408.626542,89620.333,11735,9,PG,1,100,6716
1032478.824082,1032478.824080,1760462408.636876,89630.667,11735,9,PG,1,100,6707
1032478.834416,1032478.834414,1760462408.647210,89641.000,11735,9,PG,1,100,6690
1032478.844750,1032478.844748,1760462408.657544,89651.333,11735,9,PG,1,100,6688
1032478.855084,1032478.855082,1760462408.667878,89661.667,11735,9,PG,1,100,6688
1032478.865418,1032478.865416,1760462408.678212,89672.000,11735,9,PG,1,100,6676
1032478.875146,1032478.875144,1760462408.687940,89681.727,11752,11,PG,1,100,6678
1032478.884874,1032478.884872,1760462408.697669,89691.455,11752,11,PG,1,100,6647
1032478.894602,1032478.894600,1760462408.707397,89701.182,11752,11,PG,1,100,6670
1032478.904330,1032478.904328,1760462408.717124,89710.909,11752,11,PG,1,100,6664
1032478.914058,1032478.914056,1760462408.726853,89720.636,11752,11,PG,1,100,6690
1032478.923786,1032478.923784,1760462408.736581,89730.364,11752,11,PG,1,100,6664
1032478.933514,1032478.933512,1760462408.746309,89740.091,11752,11,PG,1,100,6666
1032478.943242,1032478.943240,1760462408.756037,89749.818,11752,11,PG,1,100,6690
1032478.952970,1032478.952968,1760462408.765765,89759.545,11752,11,PG,1,100,6665
1032478.962698,1032478.962696,1760462408.775493,89769.273,11752,11,PG,1,100,6646
1032478.972426,1032478.972424,1760462408.785221,89779.000,11752,11,PG,1,100,6662
1032478.983127,1032478.983125,1760462408.795922,89789.700,11767,10,PG,1,100,6718
1032478.993828,1032478.993826,1760462408.806622,89800.400,11767,10,PG,1,100,6683
1032479.004528,1032479.004527,1760462408.817323,89811.100,11767,10,PG,1,100,6711
1032479.015229,1032479.015228,1760462408.828024,89821.800,11767,10,PG,1,100,6663
1032479.025930,1032479.025928,1760462408.838725,89832.500,11767,10,PG,1,100,6695
1032479.036631,1032479.036629,1760462408.849426,89843.200,11767,10,PG,1,100,6707
1032479.047332,1032479.047330,1760462408.860126,89853.900,11767,10,PG,1,100,6699
1032479.058032,1032479.058031,1760462408.870827,89864.600,11767,10,PG,1,100,6682
1032479.068733,1032479.068732,1760462408.881528,89875.300,11767,10,PG,1,100,6689
1032479.079434,1032479.079432,1760462408.892229,89886.000,11767,10,PG,1,100,6699
1032479.088735,1032479.088733,1760462408.901530,89895.300,11783,10,PG,1,100,6684
1032479.098035,1032479.098034,1760462408.910830,89904.600,11783,10,PG,1,100,6664
1032479.107336,1032479.107335,1760462408.920131,89913.900,11783,10,PG,1,100,6710
1032479.116637,1032479.116635,1760462408.929432,89923.200,11783,10,PG,1,100,6740
1032479.125938,1032479.125936,1760462408.938733,89932.500,11783,10,PG,1,100,6727
1032479.135238,1032479.135237,1760462408.948033,89941.800,11783,10,PG,1,100,6708
1032479.144539,1032479.144537,1760462408.957334,89951.100,11783,10,PG,1,100,6711
1032479.153840,1032479.153838,1760462408.966635,89960.400,11783,10,PG,1,100,6706
1032479.163140,1032479.163139,1760462408.975935,89969.700,11783,10,PG,1,100,6703
1032479.172441,1032479.172439,1760462408.985236,89979.000,11783,10,PG,1,100,6722
1032479.183142,1032479.183140,1760462408.995937,89989.700,11801,10,PG,1,100,6714
1032479.193843,1032479.193841,1760462409.006638,90000.400,11801,10,PG,1,100,6703
1032479.204543,1032479.204542,1760462409.017339,90011.100,11801,10,PG,1,100,6714
1032479.215244,1032479.215243,1760462409.028039,90021.800,11801,10,PG,1,100,6724
1032479.225945,1032479.225943,1760462409.038740,90032.500,11801,10,PG,1,100,6727
1032479.236646,1032479.236644,1760462409.049441,90043.200,11801,10,PG,1,100,6718
1032479.247347,1032479.247345,1760462409.060142,90053.900,11801,10,PG,1,100,6734
1032479.258047,1032479.258046,1760462409.070843,90064.600,11801,10,PG,1,100,6719
1032479.268748,1032479.268747,1760462409.081544,90075.300,11801,10,PG,1,100,6733
1032479.279449,1032479.279447,1760462409.092244,90086.000,11801,10,PG,1,100,6747
1032479.289086,1032479.289084,1760462409.101882,90095.636,11818,11,PG,1,100,6782
1032479.298723,1032479.298722,1760462409.111519,90105.273,11818,11,PG,1,100,6727
1032479.308360,1032479.308359,1760462409.121156,90114.909,11818,11,PG,1,100,6748
1032479.317997,1032479.317996,1760462409.130793,90124.545,11818,11,PG,1,100,6768
1032479.327634,1032479.327633,1760462409.140430,90134.182,11818,11,PG,1,100,6728
1032479.337272,1032479.337270,1760462409.150067,90143.818,11818,11,PG,1,100,6735
1032479.346909,1032479.346907,1760462409.159704,90153.455,11818,11,PG,1,100,6707
1032479.356546,1032479.356544,1760462409.169341,90163.091,11818,11,PG,1,100,6715
1032479.366183,1032479.366181,1760462409.178978,90172.727,11818,11,PG,1,100,6655
1032479.375820,1032479.375818,1760462409.188616,90182.364,11818,11,PG,1,100,6624
1032479.385457,1032479.385455,1760462409.198253,90192.000,11818,11,PG,1,100,6594
1032479.395902,1032479.395901,1760462409.208698,90202.444,11833,9,PG,1,100,6553
1032479.406347,1032479.406346,1760462409.219143,90212.889,11833,9,PG,1,100,6509
1032479.416793,1032479.416791,1760462409.229588,90223.333,11833,9,PG,1,100,6511
1032479.427238,1032479.427236,1760462409.240034,90233.778,11833,9,PG,1,100,6442
1032479.437683,1032479.437681,1760462409.250479,90244.222,11833,9,PG,1,100,6392
1032479.448128,1032479.448127,1760462409.260924,90254.667,11833,9,PG,1,100,6405
1032479.458574,1032479.458572,1760462409.271369,90265.111,11833,9,PG,1,100,6367
1032479.469019,1032479.469017,1760462409.281815,90275.556,11833,9,PG,1,100,6318
1032479.479464,1032479.479462,1760462409.292260,90286.000,11833,9,PG,1,100,6321
1032479.489192,1032479.489190,1760462409.301988,90295.727,11850,11,PG,1,100,6325
1032479.498920,1032479.498918,1760462409.311716,90305.455,11850,11,PG,1,100,6282
1032479.508648,1032479.508646,1760462409.321444,90315.182,11850,11,PG,1,100,6283
1032479.518376,1032479.518374,1760462409.331172,90324.909,11850,11,PG,1,100,6260
1032479.528104,1032479.528102,1760462409.340900,90334.636,11850,11,PG,1,100,6255
1032479.537832,1032479.537830,1760462409.350628,90344.364,11850,11,PG,1,100,6224
1032479.547560,1032479.547558,1760462409.360356,90354.091,11850,11,PG,1,100,6232
1032479.557288,1032479.557286,1760462409.370084,90363.818,11850,11,PG,1,100,6193
1032479.567016,1032479.567014,1760462409.379812,90373.545,11850,11,PG,1,100,6171
1032479.576744,1032479.576742,1760462409.389540,90383.273,11850,11,PG,1,100,6154
1032479.586472,1032479.586470,1760462409.399268,90393.000,11850,11,PG,1,100,6132
1032479.596806,1032479.596804,1760462409.409602,90403.333,11865,9,PG,1,100,6103
1032479.607140,1032479.607139,1760462409.419936,90413.667,11865,9,PG,1,100,6094
1032479.617474,1032479.617473,1760462409.430270,90424.000,11865,9,PG,1,100,6110
1032479.627808,1032479.627807,1760462409.440605,90434.333,11865,9,PG,1,100,6053
1032479.638142,1032479.638141,1760462409.450939,90444.667,11865,9,PG,1,100,6045
1032479.648477,1032479.648475,1760462409.461273,90455.000,11865,9,PG,1,100,6038
1032479.658811,1032479.658809,1760462409.471607,90465.333,11865,9,PG,1,100,6034
1032479.669145,1032479.669143,1760462409.481941,90475.667,11865,9,PG,1,100,5979
1032479.679479,1032479.679477,1760462409.492275,90486.000,11865,9,PG,1,100,5997
1032479.689207,1032479.689205,1760462409.502003,90495.727,11881,11,PG,1,100,5965
1032479.698935,1032479.698933,1760462409.511731,90505.455,11881,11,PG,1,100,5966
1032479.708663,1032479.708661,1760462409.521459,90515.182,11881,11,PG,1,100,5940
1032479.718391,1032479.718389,1760462409.531187,90524.909,11881,11,PG,1,100,5922
1032479.728119,1032479.728117,1760462409.540915,90534.636,11881,11,PG,1,100,5878
1032479.737847,1032479.737845,1760462409.550643,90544.364,11881,11,PG,1,100,5852
1032479.747575,1032479.747573,1760462409.560371,90554.091,11881,11,PG,1,100,5848
1032479.757303,1032479.757301,1760462409.570100,90563.818,11881,11,PG,1,100,5792
1032479.767031,1032479.767029,1760462409.579828,90573.545,11881,11,PG,1,100,5785
1032479.776759,1032479.776757,1760462409.589556,90583.273,11881,11,PG,1,100,5721
1032479.786487,1032479.786485,1760462409.599283,90593.000,11881,11,PG,1,100,5715
1032479.796488,1032479.796486,1760462409.609284,90603.000,11899,12,PG,1,100,5662
1032479.806488,1032479.806487,1760462409.619285,90613.000,11899,12,PG,1,100,5643
1032479.816489,1032479.816488,1760462409.629286,90623.000,11899,12,PG,1,100,5613
1032479.826490,1032479.826488,1760462409.639287,90633.000,11899,12,PG,1,100,5559
1032479.836491,1032479.836489,1760462409.649287,90643.000,11899,12,PG,1,100,5544
1032479.846491,1032479.846490,1760462409.659288,90653.000,11899,12,PG,1,100,5507
1032479.856492,1032479.856491,1760462409.669289,90663.000,11899,12,PG,1,100,5487
1032479.866493,1032479.866491,1760462409.679290,90673.000,11899,12,PG,1,100,5436
