LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SA
1032479.117437,1032479.117435,1760462408.930232,89924.000,11814,1,SA,1,100,0.000371
1032480.717557,1032480.717555,1760462410.530355,91524.000,12057,1,SA,1,100,0.000899
1032481.517616,1032481.517615,1760462411.330417,92324.000,12349,1,SA,1,100,0.010881
1032485.850940,1032485.850939,1760462415.663752,96657.000,12862,1,SA,1,100,0.000295
1032488.051105,1032488.051103,1760462417.863922,98857.000,13234,1,SA,1,100,0.000228
1032488.985175,1032488.985173,1760462418.797994,99791.000,13409,1,SA,1,100,0.001112
1032490.185265,1032490.185263,1760462419.998086,100991.000,13568,1,SA,1,100,0.000315
1032491.050329,1032491.050328,1760462420.863153,101856.000,13713,1,SA,1,100,0.000226
1032491.784384,1032491.784382,1760462421.597210,102590.000,13811,1,SA,1,100,0.000314
1032492.450434,1032492.450432,1760462422.263261,103256.000,13941,1,SA,1,100,0.000332
1032493.518514,1032493.518512,1760462423.331344,104324.000,14182,1,SA,1,100,0.000685
1032494.317574,1032494.317572,1760462424.130406,105123.000,14234,1,SA,1,100,0.000187
1032494.651599,1032494.651597,1760462424.464431,105457.000,14314,1,SA,1,100,0.000441
1032495.517663,1032495.517662,1760462425.330498,106323.000,14412,1,SA,1,100,0.000113
1032497.517813,1032497.517811,1760462427.330653,108323.000,14893,1,SA,1,100,0.000970
1032499.183937,1032499.183936,1760462428.996781,109989.000,14990,1,SA,1,100,0.000035
1032517.916338,1032517.916336,1760462447.729228,128720.000,17949,1,SA,1,100,0.000003
1032534.716595,1032534.716592,1760462464.529525,145519.000,20633,1,SA,1,100,0.000033
1032535.116625,1032535.116622,1760462464.929556,145919.000,20667,1,SA,1,100,0.000020
1032535.449649,1032535.449647,1760462465.262582,146252.000,20718,1,SA,1,100,0.000003
1032541.583108,1032541.583106,1760462471.396055,152385.000,21705,1,SA,1,100,0.000017
1032543.449248,1032543.449245,1760462473.262199,154251.000,22022,1,SA,1,100,0.000043
1032543.849278,1032543.849275,1760462473.662230,154651.000,22091,1,SA,1,100,0.000063
1032552.849951,1032552.849948,1760462482.662925,163651.000,23502,1,SA,1,100,0.000020
1032558.449369,1032558.449367,1760462488.262358,169250.000,24429,1,SA,1,100,0.000066
1032558.849399,1032558.849397,1760462488.662389,169650.000,24463,1,SA,1,100,0.000028
1032559.183424,1032559.183422,1760462488.996414,169984.000,24547,1,SA,1,100,0.000071
1032559.849474,1032559.849472,1760462489.662466,170650.000,24629,1,SA,1,100,0.000015
1032560.916554,1032560.916551,1760462490.729548,171717.000,24859,1,SA,1,100,0.000142
1032562.849699,1032562.849696,1760462492.662698,173650.000,25120,1,SA,1,100,0.000020
1032564.915853,1032564.915851,1760462494.728857,175716.000,25439,1,SA,1,100,0.000010
1032565.915928,1032565.915925,1760462495.728934,176716.000,25620,1,SA,1,100,0.000013
1032566.649983,1032566.649980,1760462496.462991,177450.000,25735,1,SA,1,100,0.000133
1032567.515047,1032567.515045,1760462497.328058,178315.000,25915,1,SA,1,100,0.000261
1032568.049087,1032568.049085,1760462497.862099,178849.000,25951,1,SA,1,100,0.000080
1032569.449192,1032569.449189,1760462499.262207,180249.000,26192,1,SA,1,100,0.000054
1032569.982232,1032569.982229,1760462499.795248,180782.000,26290,1,SA,1,100,0.000129
1032570.982307,1032570.982304,1760462500.795326,181782.000,26440,1,SA,1,100,0.000157
1032571.382337,1032571.382334,1760462501.195356,182182.000,26505,1,SA,1,100,0.000072
1032571.782367,1032571.782364,1760462501.595387,182582.000,26556,1,SA,1,100,0.000039
1032571.982381,1032571.982379,1760462501.795403,182782.000,26605,1,SA,1,100,0.000052
1032572.249401,1032572.249399,1760462502.062423,183049.000,26658,1,SA,1,100,0.000166
1032572.849446,1032572.849444,1760462502.662470,183649.000,26740,1,SA,1,100,0.000044
1032576.515720,1032576.515718,1760462506.328753,187315.000,27351,1,SA,1,100,0.000067
1032577.448790,1032577.448788,1760462507.261825,188248.000,27531,1,SA,1,100,0.000393
