LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SR
1032479.117437,1032479.117435,1760462408.930232,89924.000,11815,1,SR,1,100,0.200000
1032480.717557,1032480.717555,1760462410.530355,91524.000,12058,1,SR,1,100,0.066667
1032481.517616,1032481.517615,1760462411.330417,92324.000,12350,1,SR,1,100,1.133333
1032485.850940,1032485.850939,1760462415.663752,96657.000,12863,1,SR,1,100,0.066667
1032488.051105,1032488.051103,1760462417.863922,98857.000,13235,1,SR,1,100,0.133333
1032488.985175,1032488.985173,1760462418.797994,99791.000,13410,1,SR,1,100,0.400000
1032490.185265,1032490.185263,1760462419.998086,100991.000,13569,1,SR,1,100,0.200000
1032491.050329,1032491.050328,1760462420.863153,101856.000,13714,1,SR,1,100,0.200000
1032491.784384,1032491.784382,1760462421.597210,102590.000,13812,1,SR,1,100,0.133333
1032492.450434,1032492.450432,1760462422.263261,103256.000,13942,1,SR,1,100,0.266667
1032493.518514,1032493.518512,1760462423.331344,104324.000,14183,1,SR,1,100,0.666667
1032494.317574,1032494.317572,1760462424.130406,105123.000,14235,1,SR,1,100,0.200000
1032494.651599,1032494.651597,1760462424.464431,105457.000,14315,1,SR,1,100,0.333333
1032495.517663,1032495.517662,1760462425.330498,106323.000,14413,1,SR,1,100,0.133333
1032497.517813,1032497.517811,1760462427.330653,108323.000,14894,1,SR,1,100,1.133333
1032499.183937,1032499.183936,1760462428.996781,109989.000,14991,1,SR,1,100,0.066667
1032517.916338,1032517.916336,1760462447.729228,128720.000,17950,1,SR,1,100,0.066667
1032534.716595,1032534.716592,1760462464.529525,145519.000,20634,1,SR,1,100,0.266667
1032535.116625,1032535.116622,1760462464.929556,145919.000,20668,1,SR,1,100,0.066667
1032535.449649,1032535.449647,1760462465.262582,146252.000,20719,1,SR,1,100,0.066667
1032541.583108,1032541.583106,1760462471.396055,152385.000,21706,1,SR,1,100,0.266667
1032543.449248,1032543.449245,1760462473.262199,154251.000,22023,1,SR,1,100,0.266667
1032543.849278,1032543.849275,1760462473.662230,154651.000,22092,1,SR,1,100,0.266667
1032552.849951,1032552.849948,1760462482.662925,163651.000,23503,1,SR,1,100,0.200000
1032558.449369,1032558.449367,1760462488.262358,169250.000,24430,1,SR,1,100,0.266667
1032558.849399,1032558.849397,1760462488.662389,169650.000,24464,1,SR,1,100,0.066667
1032559.183424,1032559.183422,1760462488.996414,169984.000,24548,1,SR,1,100,0.266667
1032559.849474,1032559.849472,1760462489.662466,170650.000,24630,1,SR,1,100,0.066667
1032560.916554,1032560.916551,1760462490.729548,171717.000,24860,1,SR,1,100,0.466667
1032562.849699,1032562.849696,1760462492.662698,173650.000,25121,1,SR,1,100,0.133333
1032564.915853,1032564.915851,1760462494.728857,175716.000,25440,1,SR,1,100,0.066667
1032565.915928,1032565.915925,1760462495.728934,176716.000,25621,1,SR,1,100,0.200000
1032566.649983,1032566.649980,1760462496.462991,177450.000,25736,1,SR,1,100,0.200000
1032567.515047,1032567.515045,1760462497.328058,178315.000,25916,1,SR,1,100,0.400000
1032568.049087,1032568.049085,1760462497.862099,178849.000,25952,1,SR,1,100,0.066667
1032569.449192,1032569.449189,1760462499.262207,180249.000,26193,1,SR,1,100,0.133333
1032569.982232,1032569.982229,1760462499.795248,180782.000,26291,1,SR,1,100,0.200000
1032570.982307,1032570.982304,1760462500.795326,181782.000,26441,1,SR,1,100,0.133333
1032571.382337,1032571.382334,1760462501.195356,182182.000,26506,1,SR,1,100,0.133333
1032571.782367,1032571.782364,1760462501.595387,182582.000,26557,1,SR,1,100,0.066667
1032571.982381,1032571.982379,1760462501.795403,182782.000,26606,1,SR,1,100,0.133333
1032572.249401,1032572.249399,1760462502.062423,183049.000,26659,1,SR,1,100,0.200000
1032572.849446,1032572.849444,1760462502.662470,183649.000,26741,1,SR,1,100,0.066667
1032576.515720,1032576.515718,1760462506.328753,187315.000,27352,1,SR,1,100,0.200000
1032577.448790,1032577.448788,1760462507.261825,188248.000,27532,1,SR,1,100,0.333333
1032578.048835,1032578.048832,1760462507.861871,188848.000,27651,1,SR,1,100,0.533333
1032578.848895,1032578.848892,1760462508.661933,189648.000,27717,1,SR,1,100,0.066667
1032579.448940,1032579.448937,1760462509.261979,190248.000,27807,1,SR,1,100,0.066667
1032579.915975,1032579.915972,1760462509.729015,190715.000,27889,1,SR,1,100,0.066667
1032580.382010,1032580.382007,1760462510.195051,191181.000,27973,1,SR,1,100,0.066667
1032581.382084,1032581.382082,1760462511.195128,192181.000,28120,1,SR,1,100,0.066667
1032581.715109,1032581.715107,1760462511.528154,192514.000,28233,1,SR,1,100,0.400000
1032582.382159,1032582.382157,1760462512.195206,193181.000,28284,1,SR,1,100,0.066667
1032583.249224,1032583.249221,1760462513.062273,194048.000,28494,1,SR,1,100,0.533333
1032584.715334,1032584.715331,1760462514.528386,195514.000,28720,1,SR,1,100,0.466667
1032585.315379,1032585.315376,1760462515.128432,196114.000,28787,1,SR,1,100,0.266667
1032586.115438,1032586.115436,1760462515.928494,196914.000,28915,1,SR,1,100,0.266667
1032587.181518,1032587.181515,1760462516.994576,197980.000,29124,1,SR,1,100,0.466667
1032587.914573,1032587.914570,1760462517.727633,198713.000,29190,1,SR,1,100,0.200000
1032588.781638,1032588.781635,1760462518.594700,199580.000,29337,1,SR,1,100,0.200000
1032589.114663,1032589.114660,1760462518.927726,199913.000,29371,1,SR,1,100,0.133333
1032590.048733,1032590.048730,1760462519.861798,200847.000,29533,1,SR,1,100,0.200000
1032590.514767,1032590.514765,1760462520.327834,201313.000,29694,1,SR,1,100,0.733333
1032591.381832,1032591.381829,1760462521.194901,202180.000,29776,1,SR,1,100,0.333333
