LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1032478.777411,1032478.777410,1760462408.590206,89584.000,11722,1,T1,1,100,30.861
1032478.910421,1032478.910420,1760462408.723216,89717.000,11755,1,T1,1,100,30.869
1032479.044431,1032479.044430,1760462408.857226,89851.000,11770,1,T1,1,100,30.837
1032479.177441,1032479.177440,1760462408.990237,89984.000,11786,1,T1,1,100,30.823
1032479.310451,1032479.310450,1760462409.123247,90117.000,11821,1,T1,1,100,30.782
1032479.444461,1032479.444460,1760462409.257257,90251.000,11836,1,T1,1,100,30.906
1032479.577471,1032479.577470,1760462409.390267,90384.000,11853,1,T1,1,100,30.924
1032479.710481,1032479.710480,1760462409.523278,90517.000,11884,1,T1,1,100,30.896
1032479.844491,1032479.844490,1760462409.657288,90651.000,11902,1,T1,1,100,31.026
1032479.977501,1032479.977500,1760462409.790298,90784.000,11918,1,T1,1,100,30.940
1032480.110511,1032480.110510,1760462409.923309,90917.000,11933,1,T1,1,100,30.939
1032480.244521,1032480.244520,1760462410.057319,91051.000,11964,1,T1,1,100,30.903
1032480.377531,1032480.377529,1760462410.190329,91184.000,11980,1,T1,1,100,30.958
1032480.510541,1032480.510539,1760462410.323339,91317.000,11996,1,T1,1,100,30.982
1032480.644551,1032480.644549,1760462410.457350,91451.000,12026,1,T1,1,100,30.992
1032480.777561,1032480.777559,1760462410.590360,91584.000,12043,1,T1,1,100,31.103
1032480.910571,1032480.910569,1760462410.723370,91717.000,12065,1,T1,1,100,31.151
1032481.044581,1032481.044579,1760462410.857381,91851.000,12095,1,T1,1,100,31.030
1032481.177591,1032481.177589,1760462410.990391,91984.000,12112,1,T1,1,100,30.977
1032481.310601,1032481.310599,1760462411.123401,92117.000,12127,1,T1,1,100,30.955
1032481.444611,1032481.444609,1760462411.257411,92251.000,12158,1,T1,1,100,30.980
1032481.577621,1032481.577619,1760462411.390422,92384.000,12174,1,T1,1,100,31.062
1032481.710631,1032481.710629,1760462411.523432,92517.000,12189,1,T1,1,100,30.992
1032481.844641,1032481.844639,1760462411.657443,92651.000,12223,1,T1,1,100,31.032
1032481.977651,1032481.977649,1760462411.790453,92784.000,12239,1,T1,1,100,31.049
1032482.110661,1032482.110659,1760462411.923463,92917.000,12254,1,T1,1,100,31.021
1032482.243671,1032482.243669,1760462412.056473,93050.000,12271,1,T1,1,100,31.009
1032482.377681,1032482.377679,1760462412.190484,93184.000,12306,1,T1,1,100,30.933
1032482.510691,1032482.510689,1760462412.323494,93317.000,12322,1,T1,1,100,30.936
1032482.643701,1032482.643699,1760462412.456504,93450.000,12338,1,T1,1,100,30.901
1032482.777711,1032482.777709,1760462412.590514,93584.000,12372,1,T1,1,100,30.993
1032482.910721,1032482.910719,1760462412.723525,93717.000,12391,1,T1,1,100,31.032
1032483.043730,1032483.043729,1760462412.856535,93850.000,12407,1,T1,1,100,31.085
1032483.177741,1032483.177739,1760462412.990546,93984.000,12440,1,T1,1,100,31.072
1032483.310750,1032483.310749,1760462413.123556,94117.000,12455,1,T1,1,100,31.067
1032483.443760,1032483.443759,1760462413.256566,94250.000,12471,1,T1,1,100,31.064
1032483.577770,1032483.577769,1760462413.390576,94384.000,12502,1,T1,1,100,31.134
1032483.710780,1032483.710779,1760462413.523587,94517.000,12520,1,T1,1,100,31.235
1032483.843790,1032483.843789,1760462413.656597,94650.000,12537,1,T1,1,100,31.208
1032483.977800,1032483.977799,1760462413.790607,94784.000,12552,1,T1,1,100,31.196
1032484.110810,1032484.110809,1760462413.923617,94917.000,12582,1,T1,1,100,31.085
