LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1032490.680719,1032490.680723,1760462420.493548,102800,13993,2,AK,1,100,13171,RD
1032490.694720,1032490.694723,1760462420.507548,102814,13996,2,AK,1,100,13994,RD
1032495.790795,1032495.790797,1760462425.603635,107910,14813,2,AK,1,100,13994,RD
1032495.802795,1032495.802798,1760462425.615635,107922,14816,2,AK,1,100,14814,RD
1032500.898870,1032500.898872,1760462430.711722,113018,15631,2,AK,1,100,14814,RD
1032500.918870,1032500.918872,1760462430.731723,113038,15634,2,AK,1,100,15632,RD
1032506.010945,1032506.010947,1760462435.823810,118130,16453,2,AK,1,100,15632,RD
1032506.025945,1032506.025947,1760462435.838810,118145,16456,2,AK,1,100,16454,RD
1032522.936194,1032522.936195,1760462452.749099,135055,19120,2,AK,1,100,19118,RD
1032528.038269,1032528.038269,1760462457.851186,140157,19941,2,AK,1,100,19118,RD
1032528.054269,1032528.054269,1760462457.867186,140173,19944,2,AK,1,100,19942,RD
1032533.147344,1032533.147344,1760462462.960273,145266,20764,2,AK,1,100,19942,RD
1032533.156344,1032533.156344,1760462462.969273,145275,20767,2,AK,1,100,20765,RD
1032538.255419,1032538.255419,1760462468.068360,150374,21586,2,AK,1,100,20765,RD
1032580.488039,1032580.488037,1760462510.301081,192606,28226,2,AK,1,100,28224,RD
1032585.623115,1032585.623112,1760462515.436169,197741,29057,2,AK,1,100,28224,RD
1032585.632115,1032585.632112,1760462515.445169,197750,29060,2,AK,1,100,29058,RD
1032590.730190,1032590.730186,1760462520.543256,202848,29871,2,AK,1,100,29058,RD
1032590.756190,1032590.756187,1760462520.569257,202874,29874,2,AK,1,100,29872,RD
