LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1032477.324523,1032477.324527,1760462407.137320,89444.000,11880,1,BI,1,100,1380
1032478.431539,1032478.431543,1760462408.244339,90551.000,12054,1,BI,1,100,1100
1032479.761559,1032479.761563,1760462409.574361,91881.000,12261,1,BI,1,100,1320
1032480.821575,1032480.821578,1760462410.634379,92941.000,12435,1,BI,1,100,1050
1032481.497585,1032481.497588,1760462411.310391,93617.000,12549,1,BI,1,100,670
1032483.194609,1032483.194613,1760462413.007420,95314.000,12804,1,BI,1,100,1680
1032485.580645,1032485.580648,1760462415.393461,97700.000,13173,1,BI,1,100,2370
1032485.957650,1032485.957654,1760462415.770467,98077.000,13222,1,BI,1,100,370
1032487.090667,1032487.090670,1760462416.903486,99210.000,13419,1,BI,1,100,1130
1032487.574674,1032487.574677,1760462417.387495,99694.000,13485,1,BI,1,100,480
1032488.107682,1032488.107685,1760462417.920504,100227.000,13583,1,BI,1,100,520
1032489.467702,1032489.467705,1760462419.280527,101587.000,13793,1,BI,1,100,1350
1032489.973709,1032489.973712,1760462419.786536,102093.000,13878,1,BI,1,100,510
1032490.596718,1032490.596721,1760462420.409546,102716.000,13975,1,BI,1,100,610
1032491.093726,1032491.093729,1760462420.906555,103213.000,14063,1,BI,1,100,500
1032491.693734,1032491.693737,1760462421.506565,103813.000,14159,1,BI,1,100,590
1032492.116741,1032492.116744,1760462421.929572,104236.000,14226,1,BI,1,100,420
1032492.623748,1032492.623751,1760462422.436581,104743.000,14306,1,BI,1,100,500
1032493.176756,1032493.176759,1760462422.989590,105296.000,14389,1,BI,1,100,550
1032493.703764,1032493.703767,1760462423.516599,105823.000,14469,1,BI,1,100,520
1032494.286772,1032494.286775,1760462424.099609,106406.000,14567,1,BI,1,100,580
1032494.849781,1032494.849784,1760462424.662619,106969.000,14663,1,BI,1,100,560
1032495.406789,1032495.406792,1760462425.219629,107526.000,14748,1,BI,1,100,550
1032496.093799,1032496.093802,1760462425.906640,108213.000,14866,1,BI,1,100,680
1032496.726808,1032496.726811,1760462426.539651,108846.000,14961,1,BI,1,100,630
1032497.349817,1032497.349820,1760462427.162662,109469.000,15060,1,BI,1,100,620
1032498.399833,1032498.399836,1760462428.212680,110519.000,15236,1,BI,1,100,1040
1032498.953841,1032498.953844,1760462428.766689,111073.000,15319,1,BI,1,100,550
1032499.439848,1032499.439851,1760462429.252697,111559.000,15399,1,BI,1,100,480
1032499.946856,1032499.946858,1760462429.759706,112066.000,15484,1,BI,1,100,500
1032500.472863,1032500.472866,1760462430.285715,112592.000,15564,1,BI,1,100,530
1032501.019871,1032501.019874,1760462430.832724,113139.000,15654,1,BI,1,100,540
1032501.602880,1032501.602882,1760462431.415734,113722.000,15749,1,BI,1,100,580
1032502.186889,1032502.186891,1760462431.999744,114306.000,15847,1,BI,1,100,570
1032502.815898,1032502.815900,1760462432.628755,114935.000,15943,1,BI,1,100,630
1032503.362906,1032503.362908,1760462433.175764,115482.000,16026,1,BI,1,100,540
1032504.062916,1032504.062918,1760462433.875776,116182.000,16140,1,BI,1,100,690
1032504.665925,1032504.665927,1760462434.478787,116785.000,16237,1,BI,1,100,600
1032505.275934,1032505.275936,1760462435.088797,117395.000,16338,1,BI,1,100,610
1032505.772941,1032505.772943,1760462435.585805,117892.000,16417,1,BI,1,100,490
1032506.235948,1032506.235950,1760462436.048813,118355.000,16492,1,BI,1,100,460
1032506.768956,1032506.768958,1760462436.581822,118888.000,16588,1,BI,1,100,530
1032507.325964,1032507.325966,1760462437.138832,119445.000,16670,1,BI,1,100,550
1032508.275978,1032508.275980,1760462438.088848,120395.000,16813,1,BI,1,100,940
1032508.825986,1032508.825988,1760462438.638858,120945.000,16908,1,BI,1,100,550
1032509.468996,1032509.468998,1760462439.281869,121588.000,17004,1,BI,1,100,640
1032510.072004,1032510.072006,1760462439.884879,122191.000,17102,1,BI,1,100,590
1032510.622013,1032510.622014,1760462440.434888,122741.000,17197,1,BI,1,100,550
1032511.212021,1032511.212023,1760462441.024898,123331.000,17276,1,BI,1,100,580
1032511.849031,1032511.849032,1760462441.661909,123968.000,17389,1,BI,1,100,630
1032512.459040,1032512.459041,1760462442.271920,124578.000,17485,1,BI,1,100,610
1032513.035048,1032513.035050,1760462442.847929,125154.000,17565,1,BI,1,100,570
1032513.502055,1032513.502057,1760462443.314937,125621.000,17644,1,BI,1,100,460
