LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BV
1032479.842560,1032479.842564,1760462409.655363,91962.000,12294,1,BV,1,100,3.74
1032484.842634,1032484.842637,1760462414.655448,96962.000,13074,1,BV,1,100,3.76
1032489.841707,1032489.841710,1760462419.654533,101961.000,13874,1,BV,1,100,3.74
1032494.841781,1032494.841783,1760462424.654619,106961.000,14680,1,BV,1,100,3.73
1032499.840854,1032499.840857,1760462429.653704,111960.000,15480,1,BV,1,100,3.73
1032504.840928,1032504.840930,1760462434.653790,116960.000,16288,1,BV,1,100,3.73
1032509.840001,1032509.840003,1760462439.652875,121959.000,17084,1,BV,1,100,3.74
1032514.840075,1032514.840076,1760462444.652960,126959.000,17871,1,BV,1,100,3.76
1032519.839148,1032519.839149,1760462449.652046,131958.000,18644,1,BV,1,100,3.74
1032524.839221,1032524.839222,1760462454.652131,136958.000,19448,1,BV,1,100,3.74
1032529.838295,1032529.838296,1760462459.651217,141957.000,20254,1,BV,1,100,3.73
1032534.838368,1032534.838369,1760462464.651302,146957.000,21058,1,BV,1,100,3.74
1032539.837442,1032539.837442,1760462469.650387,151956.000,21846,1,BV,1,100,3.74
1032544.837515,1032544.837515,1760462474.650472,156956.000,22627,1,BV,1,100,3.76
1032549.836589,1032549.836588,1760462479.649558,161955.000,23426,1,BV,1,100,3.75
1032554.836662,1032554.836661,1760462484.649643,166955.000,24205,1,BV,1,100,3.75
1032559.835736,1032559.835734,1760462489.648729,171954.000,24992,1,BV,1,100,3.76
1032564.835809,1032564.835808,1760462494.648814,176954.000,25772,1,BV,1,100,3.75
1032569.834883,1032569.834881,1760462499.647899,181953.000,26573,1,BV,1,100,3.76
1032574.834956,1032574.834954,1760462504.647985,186953.000,27357,1,BV,1,100,3.75
1032579.834030,1032579.834027,1760462509.647070,191952.000,28141,1,BV,1,100,3.74
1032584.834103,1032584.834100,1760462514.647156,196952.000,28940,1,BV,1,100,3.73
1032589.833177,1032589.833173,1760462519.646241,201951.000,29734,1,BV,1,100,3.73
