LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1032485.548644,1032485.548648,1760462415.361460,97668,13171,2,RD,1,100,TL,TU
1032490.681720,1032490.681723,1760462420.494548,102801,13994,2,RD,1,100,TL,TU
1032495.791795,1032495.791797,1760462425.604635,107911,14814,2,RD,1,100,TL,TU
1032500.899870,1032500.899872,1760462430.712722,113019,15632,2,RD,1,100,TL,TU
1032506.010945,1032506.010947,1760462435.823810,118130,16454,2,RD,1,100,TL,TU
1032517.812118,1032517.812120,1760462447.625011,129931,18318,2,RD,1,100,TL,TU
1032522.924193,1032522.924194,1760462452.737098,135043,19118,2,RD,1,100,TL,TU
1032528.039269,1032528.039269,1760462457.852186,140158,19942,2,RD,1,100,TL,TU
1032533.147344,1032533.147344,1760462462.960273,145266,20765,2,RD,1,100,TL,TU
1032538.256419,1032538.256419,1760462468.069360,150375,21587,2,RD,1,100,TL,TU
1032580.472039,1032580.472036,1760462510.285081,192590,28224,2,RD,1,100,TL,TU
1032585.623115,1032585.623112,1760462515.436169,197741,29058,2,RD,1,100,TL,TU
1032590.731190,1032590.731186,1760462520.544256,202849,29872,2,RD,1,100,TL,TU
