LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1032476.210507,1032476.210511,1760462406.023301,88330.000,11701,1,SF,1,100,19.1814
1032476.610513,1032476.610517,1760462406.423308,88730.000,11765,1,SF,1,100,21.0418
1032476.877517,1032476.877521,1760462406.690312,88997.000,11814,1,SF,1,100,20.7984
1032477.210522,1032477.210526,1760462407.023318,89330.000,11863,1,SF,1,100,20.5578
1032477.543526,1032477.543530,1760462407.356323,89663.000,11912,1,SF,1,100,20.3199
1032477.943532,1032477.943536,1760462407.756330,90063.000,11974,1,SF,1,100,20.0849
1032478.210536,1032478.210540,1760462408.023335,90330.000,12023,1,SF,1,100,21.9348
1032478.543541,1032478.543545,1760462408.356341,90663.000,12072,1,SF,1,100,21.6810
1032478.943547,1032478.943551,1760462408.756347,91063.000,12134,1,SF,1,100,21.4302
1032479.210551,1032479.210555,1760462409.023352,91330.000,12180,1,SF,1,100,21.1823
1032479.543556,1032479.543560,1760462409.356358,91663.000,12230,1,SF,1,100,23.0195
1032479.876561,1032479.876565,1760462409.689363,91996.000,12278,1,SF,1,100,22.7533
1032480.276567,1032480.276570,1760462410.089370,92396.000,12342,1,SF,1,100,22.4900
1032480.543571,1032480.543574,1760462410.356375,92663.000,12389,1,SF,1,100,22.2299
1032480.876575,1032480.876579,1760462410.689380,92996.000,12439,1,SF,1,100,24.0550
1032481.276581,1032481.276585,1760462411.089387,93396.000,12501,1,SF,1,100,23.7767
1032481.543585,1032481.543589,1760462411.356392,93663.000,12551,1,SF,1,100,23.5017
1032481.876590,1032481.876594,1760462411.689398,93996.000,12599,1,SF,1,100,25.3120
1032482.209595,1032482.209599,1760462412.022403,94329.000,12646,1,SF,1,100,25.0192
1032482.609601,1032482.609605,1760462412.422410,94729.000,12710,1,SF,1,100,26.8121
1032482.876605,1032482.876608,1760462412.689415,94996.000,12757,1,SF,1,100,26.5019
1032483.209610,1032483.209613,1760462413.022420,95329.000,12806,1,SF,1,100,26.1953
1032483.609616,1032483.609619,1760462413.422427,95729.000,12870,1,SF,1,100,27.9745
1032483.876619,1032483.876623,1760462413.689432,95996.000,12916,1,SF,1,100,27.6509
1032484.209624,1032484.209628,1760462414.022437,96329.000,12964,1,SF,1,100,27.3311
1032484.542629,1032484.542633,1760462414.355443,96662.000,13012,1,SF,1,100,29.0971
1032484.942635,1032484.942639,1760462414.755450,97062.000,13076,1,SF,1,100,28.7605
1032485.209639,1032485.209643,1760462415.022454,97329.000,13125,1,SF,1,100,30.5101
1032485.609645,1032485.609648,1760462415.422461,97729.000,13175,1,SF,1,100,30.1571
1032485.942650,1032485.942653,1760462415.755467,98062.000,13224,1,SF,1,100,29.8083
1032486.209654,1032486.209657,1760462416.022471,98329.000,13274,1,SF,1,100,29.4635
1032486.542659,1032486.542662,1760462416.355477,98662.000,13322,1,SF,1,100,31.2049
1032486.875664,1032486.875667,1760462416.688483,98995.000,13370,1,SF,1,100,30.8439
1032487.275669,1032487.275673,1760462417.088490,99395.000,13436,1,SF,1,100,30.4871
1032487.542673,1032487.542677,1760462417.355494,99662.000,13487,1,SF,1,100,32.2167
1032487.875678,1032487.875682,1760462417.688500,99995.000,13535,1,SF,1,100,31.8440
1032488.275684,1032488.275687,1760462418.088507,100395.000,13601,1,SF,1,100,31.4756
1032488.542688,1032488.542691,1760462418.355511,100662.000,13649,1,SF,1,100,33.1938
1032488.875693,1032488.875696,1760462418.688517,100995.000,13698,1,SF,1,100,32.8098
1032489.209698,1032489.209701,1760462419.022523,101329.000,13746,1,SF,1,100,32.4302
1032489.609704,1032489.609707,1760462419.422529,101729.000,13810,1,SF,1,100,32.0551
1032489.875708,1032489.875711,1760462419.688534,101995.000,13858,1,SF,1,100,31.6842
1032490.209713,1032490.209716,1760462420.022540,102329.000,13910,1,SF,1,100,31.3177
1032490.608718,1032490.608722,1760462420.421546,102728.000,13977,1,SF,1,100,33.0377
1032490.942723,1032490.942726,1760462420.755552,103062.000,14030,1,SF,1,100,32.6555
1032491.208727,1032491.208730,1760462421.021557,103328.000,14080,1,SF,1,100,32.2777
1032491.542732,1032491.542735,1760462421.355562,103662.000,14127,1,SF,1,100,31.9044
1032491.942738,1032491.942741,1760462421.755569,104062.000,14194,1,SF,1,100,31.5353
1032492.208742,1032492.208745,1760462422.021574,104328.000,14243,1,SF,1,100,31.1705
1032492.542747,1032492.542750,1760462422.355580,104662.000,14290,1,SF,1,100,30.8099
1032492.875752,1032492.875755,1760462422.688585,104995.000,14339,1,SF,1,100,30.4535
1032493.275758,1032493.275761,1760462423.088592,105395.000,14405,1,SF,1,100,30.1012
1032493.542762,1032493.542764,1760462423.355597,105662.000,14453,1,SF,1,100,29.7530
1032493.875766,1032493.875769,1760462423.688602,105995.000,14502,1,SF,1,100,29.4088
1032494.208771,1032494.208774,1760462424.021608,106328.000,14551,1,SF,1,100,29.0686
1032494.608777,1032494.608780,1760462424.421615,106728.000,14615,1,SF,1,100,28.7323
1032494.875781,1032494.875784,1760462424.688619,106995.000,14665,1,SF,1,100,28.4000
1032495.208786,1032495.208789,1760462425.021625,107328.000,14716,1,SF,1,100,28.0714
1032495.608792,1032495.608795,1760462425.421632,107728.000,14780,1,SF,1,100,27.7467
1032495.941797,1032495.941800,1760462425.754638,108061.000,14832,1,SF,1,100,27.4257
1032496.208801,1032496.208803,1760462426.021642,108328.000,14884,1,SF,1,100,27.1084
1032496.541806,1032496.541808,1760462426.354648,108661.000,14930,1,SF,1,100,26.7949
1032496.941812,1032496.941814,1760462426.754655,109061.000,14995,1,SF,1,100,26.4849
1032497.208815,1032497.208818,1760462427.021659,109328.000,15044,1,SF,1,100,26.1785
1032497.541820,1032497.541823,1760462427.354665,109661.000,15093,1,SF,1,100,25.8757
1032497.874825,1032497.874828,1760462427.687671,109994.000,15141,1,SF,1,100,25.5763
1032498.274831,1032498.274834,1760462428.087677,110394.000,15205,1,SF,1,100,25.2805
1032498.608836,1032498.608839,1760462428.421683,110728.000,15253,1,SF,1,100,24.9880
1032498.874840,1032498.874843,1760462428.687688,110994.000,15302,1,SF,1,100,24.6990
1032499.208845,1032499.208847,1760462429.021693,111328.000,15352,1,SF,1,100,24.4132
1032499.608851,1032499.608853,1760462429.421700,111728.000,15416,1,SF,1,100,24.1308
1032499.874855,1032499.874857,1760462429.687705,111994.000,15464,1,SF,1,100,23.8517
1032500.207859,1032500.207862,1760462430.020710,112327.000,15517,1,SF,1,100,23.5758
1032500.541864,1032500.541867,1760462430.354716,112661.000,15568,1,SF,1,100,25.3853
1032500.941870,1032500.941873,1760462430.754723,113061.000,15636,1,SF,1,100,25.0916
1032501.207874,1032501.207877,1760462431.020728,113327.000,15686,1,SF,1,100,24.8014
1032501.541879,1032501.541882,1760462431.354733,113661.000,15733,1,SF,1,100,24.5145
1032501.941885,1032501.941887,1760462431.754740,114061.000,15799,1,SF,1,100,24.2309
1032502.274890,1032502.274892,1760462432.087746,114394.000,15849,1,SF,1,100,23.9506
1032502.541894,1032502.541896,1760462432.354750,114661.000,15896,1,SF,1,100,23.6735
1032502.874899,1032502.874901,1760462432.687756,114994.000,15945,1,SF,1,100,23.3997
1032503.274905,1032503.274907,1760462433.087763,115394.000,16009,1,SF,1,100,23.1290
1032503.541908,1032503.541911,1760462433.354767,115661.000,16059,1,SF,1,100,22.8614
1032503.874913,1032503.874916,1760462433.687773,115994.000,16106,1,SF,1,100,22.5970
1032504.207918,1032504.207921,1760462434.020779,116327.000,16157,1,SF,1,100,22.3356
1032504.607924,1032504.607926,1760462434.420786,116727.000,16219,1,SF,1,100,22.0772
1032504.874928,1032504.874930,1760462434.687790,116994.000,16273,1,SF,1,100,23.9040
1032505.207933,1032505.207935,1760462435.020796,117327.000,16322,1,SF,1,100,23.6275
1032505.607939,1032505.607941,1760462435.420803,117727.000,16386,1,SF,1,100,23.3542
1032505.874943,1032505.874945,1760462435.687807,117994.000,16435,1,SF,1,100,23.0840
1032506.207948,1032506.207950,1760462436.020813,118327.000,16494,1,SF,1,100,24.8992
1032506.540953,1032506.540955,1760462436.353819,118660.000,16540,1,SF,1,100,24.6112
1032506.940958,1032506.940961,1760462436.753825,119060.000,16605,1,SF,1,100,24.3265
1032507.207962,1032507.207964,1760462437.020830,119327.000,16654,1,SF,1,100,24.0451
1032507.540967,1032507.540969,1760462437.353836,119660.000,16703,1,SF,1,100,23.7669
1032507.940973,1032507.940975,1760462437.753843,120060.000,16766,1,SF,1,100,23.4920
1032508.273978,1032508.273980,1760462438.086848,120393.000,16815,1,SF,1,100,23.2202
1032508.540982,1032508.540984,1760462438.353853,120660.000,16861,1,SF,1,100,22.9516
1032508.873987,1032508.873989,1760462438.686858,120993.000,16910,1,SF,1,100,22.6861
1032509.273993,1032509.273995,1760462439.086865,121393.000,16972,1,SF,1,100,22.4237
1032509.540997,1032509.540999,1760462439.353870,121660.000,17021,1,SF,1,100,22.1643
1032509.874002,1032509.874003,1760462439.686876,121993.000,17068,1,SF,1,100,21.9079
