LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1032490.679719,1032490.679723,1760462420.492548,102799,13992,1,TL,1,100,2025-10-14_13-20-15-501278
1032490.692720,1032490.692723,1760462420.505548,102812,13995,1,TL,1,100,2025-10-14_13-20-20-500048
1032495.789795,1032495.789797,1760462425.602635,107909,14812,1,TL,1,100,2025-10-14_13-20-20-622068
1032495.799795,1032495.799798,1760462425.612635,107919,14815,1,TL,1,100,2025-10-14_13-20-25-608444
1032500.897870,1032500.897872,1760462430.710722,113017,15630,1,TL,1,100,2025-10-14_13-20-25-683092
1032500.917870,1032500.917872,1760462430.730723,113037,15633,1,TL,1,100,2025-10-14_13-20-30-724930
1032506.005945,1032506.005947,1760462435.818810,118125,16452,1,TL,1,100,2025-10-14_13-20-30-791990
1032506.023945,1032506.023947,1760462435.836810,118143,16455,1,TL,1,100,2025-10-14_13-20-35-828482
1032522.935194,1032522.935195,1760462452.748099,135054,19119,1,TL,1,100,2025-10-14_13-20-52-745252
1032528.037268,1032528.037269,1760462457.850186,140156,19940,1,TL,1,100,2025-10-14_13-20-52-803353
1032528.052269,1032528.052269,1760462457.865186,140171,19943,1,TL,1,100,2025-10-14_13-20-57-860605
1032533.145344,1032533.145344,1760462462.958273,145264,20763,1,TL,1,100,2025-10-14_13-20-57-925545
1032533.155344,1032533.155344,1760462462.968273,145274,20766,1,TL,1,100,2025-10-14_13-21-02-965074
1032538.254419,1032538.254419,1760462468.067360,150373,21585,1,TL,1,100,2025-10-14_13-21-03-022929
1032580.486039,1032580.486037,1760462510.299081,192604,28225,1,TL,1,100,2025-10-14_13-21-50-294033
1032585.621115,1032585.621112,1760462515.434169,197739,29056,1,TL,1,100,2025-10-14_13-21-50-333695
1032585.631115,1032585.631112,1760462515.444169,197749,29059,1,TL,1,100,2025-10-14_13-21-55-440169
1032590.729190,1032590.729186,1760462520.542256,202847,29870,1,TL,1,100,2025-10-14_13-21-55-523362
1032590.754190,1032590.754187,1760462520.567256,202872,29873,1,TL,1,100,2025-10-14_13-22-00-553069
