RD,TS_received,TS_sent,AK,RoundTrip,
97668,102799,2025-10-14_13-20-15-501278,102800,5131,
102801,102812,2025-10-14_13-20-20-500048,102814,11,
107911,107919,2025-10-14_13-20-25-608444,107922,8,
113019,113037,2025-10-14_13-20-30-724930,113038,18,
118130,118143,2025-10-14_13-20-35-828482,118145,13,
135043,135054,2025-10-14_13-20-52-745252,135055,11,
140158,140171,2025-10-14_13-20-57-860605,140173,13,
145266,145274,2025-10-14_13-21-02-965074,145275,8,
192590,192604,2025-10-14_13-21-50-294033,192606,14,
197741,197749,2025-10-14_13-21-55-440169,197750,8,
202849,202872,2025-10-14_13-22-00-553069,202874,23,
