LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1201894.457669,1201894.457668,1760631824.181112,20334.000,1152,1,PR,1,100,112366
1201894.467305,1201894.467305,1760631824.190748,20343.636,1157,11,PR,1,100,112363
1201894.476941,1201894.476941,1760631824.200384,20353.273,1157,11,PR,1,100,112378
1201894.486578,1201894.486577,1760631824.210021,20362.909,1157,11,PR,1,100,112361
1201894.496214,1201894.496214,1760631824.219657,20372.545,1157,11,PR,1,100,112335
1201894.505850,1201894.505850,1760631824.229293,20382.182,1157,11,PR,1,100,112369
1201894.515486,1201894.515486,1760631824.238930,20391.818,1157,11,PR,1,100,112329
1201894.525123,1201894.525123,1760631824.248566,20401.455,1157,11,PR,1,100,112346
1201894.534759,1201894.534759,1760631824.258202,20411.091,1157,11,PR,1,100,112390
1201894.544395,1201894.544395,1760631824.267839,20420.727,1157,11,PR,1,100,112361
1201894.554032,1201894.554031,1760631824.277475,20430.364,1157,11,PR,1,100,112330
1201894.563668,1201894.563668,1760631824.287111,20440.000,1157,11,PR,1,100,112346
1201894.574112,1201894.574112,1760631824.297556,20450.444,1173,9,PR,1,100,112374
1201894.584557,1201894.584557,1760631824.308000,20460.889,1173,9,PR,1,100,112362
1201894.595001,1201894.595001,1760631824.318444,20471.333,1173,9,PR,1,100,112345
1201894.605446,1201894.605445,1760631824.328889,20481.778,1173,9,PR,1,100,112354
1201894.615890,1201894.615890,1760631824.339333,20492.222,1173,9,PR,1,100,112339
1201894.626334,1201894.626334,1760631824.349778,20502.667,1173,9,PR,1,100,112344
1201894.636779,1201894.636779,1760631824.360222,20513.111,1173,9,PR,1,100,112357
1201894.647223,1201894.647223,1760631824.370667,20523.556,1173,9,PR,1,100,112363
1201894.657668,1201894.657667,1760631824.381111,20534.000,1173,9,PR,1,100,112367
1201894.667304,1201894.667304,1760631824.390747,20543.636,1188,11,PR,1,100,112318
1201894.676940,1201894.676940,1760631824.400383,20553.273,1188,11,PR,1,100,112314
1201894.686577,1201894.686576,1760631824.410020,20562.909,1188,11,PR,1,100,112335
1201894.696213,1201894.696213,1760631824.419656,20572.545,1188,11,PR,1,100,112367
1201894.705849,1201894.705849,1760631824.429292,20582.182,1188,11,PR,1,100,112363
1201894.715485,1201894.715485,1760631824.438929,20591.818,1188,11,PR,1,100,112371
1201894.725122,1201894.725122,1760631824.448565,20601.455,1188,11,PR,1,100,112343
1201894.734758,1201894.734758,1760631824.458201,20611.091,1188,11,PR,1,100,112372
1201894.744394,1201894.744394,1760631824.467838,20620.727,1188,11,PR,1,100,112369
1201894.754031,1201894.754030,1760631824.477474,20630.364,1188,11,PR,1,100,112362
